City,Longitude,latitude,Population,median_age,median_income,median_house_value,total_rooms,Bedrooms,Households,ocean_proximity,max_temp,Humidity,Cloudiness,wind_speed,Description
Oakland,-122.27,37.82,1061,43,1.5045,93800,1868,456,407,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.27,37.82,1959,41,1.1108,97500,3221,853,720,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.27,37.82,1162,52,1.2475,104200,1630,456,400,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.82,701,52,1.6098,87500,1170,235,233,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.82,576,52,1.4113,83100,945,243,220,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.82,622,52,1.5057,87500,1238,288,259,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.82,728,52,0.8172,85300,1489,335,244,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.82,1074,52,1.2171,80300,1387,341,304,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.82,94,2,2.5625,60000,158,43,57,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.83,554,52,3.3929,75700,1121,211,187,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.82,86,49,6.1183,75000,135,29,23,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.81,377,50,0.9011,86100,760,190,122,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.3,37.81,521,52,1.191,76100,1224,237,159,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.3,37.81,392,48,2.5938,73500,828,182,133,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.3,37.81,604,52,1.1667,78400,1010,209,187,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.3,37.81,788,48,0.8056,84400,1455,354,332,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.8,492,52,2.6094,81300,1027,244,147,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.3,37.81,274,52,1.8516,85000,572,109,82,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.81,1823,46,0.9802,129200,2801,644,611,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.81,392,26,1.7719,82500,768,152,127,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.81,582,46,0.7286,95200,935,297,277,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.81,560,49,1.75,75000,844,204,152,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.81,18,46,0.4999,67500,12,4,7,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.81,290,20,2.483,137500,835,161,133,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.81,762,17,0.9241,177500,1237,462,439,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.81,1236,36,2.4464,102100,2914,562,509,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.81,721,19,1.1111,108300,1207,243,207,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.29,37.81,1054,23,0.8026,112500,1745,374,325,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.8,344,38,2.0114,131300,684,176,155,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.81,609,17,1.5,162500,924,289,289,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.27,37.81,183,52,1.1667,112500,210,56,56,NEAR BAY,87.69,63,75,17.27,broken clouds
Oakland,-122.28,37.81,200,52,1.5208,112500,340,97,87,NEAR BAY,87.69,63,75,17.27,broken clouds
Mission Viejo,-117.64,33.61,3041,14,5.826,247900,5232,810,839,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.65,33.6,1004,13,5.133,316100,2319,430,380,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.64,33.59,1312,4,8.1611,348000,3274,383,390,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.65,33.57,1185,5,4.3542,195600,1998,500,446,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.65,33.58,703,2,7.8061,331400,2411,354,217,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.66,33.57,1357,16,5.5545,214200,2483,443,400,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.65,33.59,1238,8,8.0409,337900,2649,340,354,<1H OCEAN,94.75,63,59,5.01,broken clouds
San Juan Capistrano,-117.67,33.54,1003,16,4.7981,170800,2102,350,328,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.67,33.54,1366,15,4.8906,181800,2423,435,423,<1H OCEAN,92.59,67,72,5.99,broken clouds
Laguna Niguel,-117.67,33.55,1695,6,3.7609,222300,3157,721,710,<1H OCEAN,89.85,66,64,7,broken clouds
Mission Viejo,-117.67,33.56,1345,4,4.6863,184400,3289,728,632,<1H OCEAN,94.75,63,59,5.01,broken clouds
San Juan Capistrano,-117.64,33.51,943,15,5.9339,286000,1743,254,274,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.64,33.51,650,14,7.2648,363200,1343,175,184,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Clemente,-117.55,33.52,133,15,5.136,447400,426,62,45,<1H OCEAN,93.65,72,76,7,broken clouds
Rancho Santa Margarita,-117.59,33.61,991,3,10.0765,378200,2993,429,390,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.58,33.6,1862,5,11.0567,495400,5348,659,555,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.49,33.64,3191,3,6.8588,302000,8874,1302,1027,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.59,33.67,633,29,6.5143,279800,1223,215,204,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.53,33.69,213,6,10.9704,483300,454,102,43,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.59,33.66,563,3,5.1589,167800,1206,256,287,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.58,33.66,1693,4,5.2497,215000,3305,644,597,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.58,33.65,833,4,5.7709,190300,2000,422,386,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.59,33.66,673,4,6.0722,260800,1318,218,225,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.59,33.65,2332,2,4.5022,151900,4860,1193,1073,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.6,33.65,1599,4,6.2464,233900,3134,504,485,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.61,33.67,1600,3,6.8004,284900,4541,720,583,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.64,33.66,2597,6,4.6076,204000,5221,1217,1119,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.59,33.65,897,4,4.2463,182800,1793,390,386,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.58,33.65,815,4,3.375,500001,1606,498,426,<1H OCEAN,95.11,58,61,5.99,broken clouds
Rancho Santa Margarita,-117.61,33.63,1970,2,6.1078,219000,4678,817,712,<1H OCEAN,95.11,58,61,5.99,broken clouds
San Juan Capistrano,-117.65,33.53,2175,7,10.49,500001,6814,785,681,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Clemente,-117.62,33.42,998,23,4.0294,500001,2656,515,435,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.63,33.38,2104,12,5.1482,500001,5744,1054,847,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.61,33.41,946,35,6.1557,402900,2556,404,399,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.61,33.42,1919,31,4.0313,282000,3959,856,775,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.6,33.41,922,29,4.5476,309200,2193,389,387,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.62,33.47,661,4,6.487,294200,1812,255,211,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.63,33.45,1571,5,5.3705,363500,3549,604,534,NEAR OCEAN,93.65,72,76,7,broken clouds
San Juan Capistrano,-117.63,33.47,805,4,7.6012,310800,1969,280,271,NEAR OCEAN,92.59,67,72,5.99,broken clouds
San Clemente,-117.61,33.45,426,6,4.7237,220700,950,184,186,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.63,33.46,2812,7,6.3401,387300,7684,1088,1057,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.65,33.42,603,25,3.3967,249400,2174,428,352,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.64,33.45,130,27,4.875,284100,334,56,46,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.62,33.43,1221,27,3.2232,247100,1835,413,377,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.62,33.43,2321,27,3.3155,231000,3858,1062,873,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.62,33.43,850,24,2.7545,231300,1296,384,367,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.65,33.4,910,17,3.5729,370800,2737,654,492,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.62,33.43,1950,23,4.0647,240600,4052,955,859,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.61,33.43,604,33,2.3545,187500,1150,383,317,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.62,33.42,460,27,3.1029,190600,1005,266,243,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.62,33.42,597,27,3.1395,310000,1444,412,311,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.6,33.45,996,4,5.4031,243800,2369,566,435,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.59,33.44,2363,3,4.3897,341300,5813,1264,1041,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.59,33.4,1797,22,4.0076,252100,3167,743,642,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.59,33.41,878,17,5.1298,246000,2248,448,423,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.6,33.42,1048,23,4.665,280600,2482,461,425,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.61,33.43,851,24,3.9875,346500,2303,399,379,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.6,33.43,1392,21,5.1439,414000,3951,562,543,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.61,33.44,713,17,6.5954,346200,2036,272,265,NEAR OCEAN,93.65,72,76,7,broken clouds
San Clemente,-117.59,33.43,1230,14,6.5964,358800,3223,484,488,NEAR OCEAN,93.65,72,76,7,broken clouds
Dana Point,-117.67,33.47,1081,22,1.6393,500001,2728,616,566,<1H OCEAN,88.54,67,66,5.99,broken clouds
Dana Point,-117.67,33.46,1409,24,4.6518,277800,3571,722,543,<1H OCEAN,88.54,67,66,5.99,broken clouds
Dana Point,-117.67,33.44,903,25,6.6852,500001,2994,519,410,<1H OCEAN,88.54,67,66,5.99,broken clouds
Dana Point,-117.67,33.46,783,18,5.3999,300000,1679,271,257,<1H OCEAN,88.54,67,66,5.99,broken clouds
Dana Point,-117.66,33.46,952,26,5.0877,288100,2073,370,340,<1H OCEAN,88.54,67,66,5.99,broken clouds
Dana Point,-117.66,33.46,609,28,5.1024,312700,1261,233,242,<1H OCEAN,88.54,67,66,5.99,broken clouds
San Juan Capistrano,-117.66,33.48,334,22,2.3846,500001,809,180,157,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.65,33.49,628,16,4.3603,248800,2223,454,382,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.64,33.49,781,3,5.6197,271600,2516,429,337,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.65,33.48,1469,10,5.4188,402200,3484,582,556,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.65,33.48,572,6,13.0502,500001,1638,188,174,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.63,33.5,1506,12,7.2013,353600,3619,536,492,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.63,33.47,1408,4,6.3369,256000,2320,405,477,NEAR OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.65,33.46,2824,19,6.0873,277300,7034,1139,1068,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Juan Capistrano,-117.64,33.48,1033,12,5.6754,275900,2007,397,373,<1H OCEAN,92.59,67,72,5.99,broken clouds
San Clemente,-117.65,33.45,3033,15,5.49,239300,7468,1275,1217,NEAR OCEAN,93.65,72,76,7,broken clouds
Laguna Niguel,-117.73,33.49,1530,31,10.3983,500001,5112,778,648,<1H OCEAN,89.85,66,64,7,broken clouds
Dana Point,-117.76,33.48,1332,38,5.0044,381200,3832,809,636,<1H OCEAN,88.54,67,66,5.99,broken clouds
Laguna Niguel,-117.74,33.51,612,29,7.8239,500001,1720,269,258,<1H OCEAN,89.85,66,64,7,broken clouds
Laguna Niguel,-117.73,33.53,2129,3,7.8915,420600,6388,920,819,<1H OCEAN,89.85,66,64,7,broken clouds
Laguna Niguel,-117.72,33.54,1909,13,4.9821,244800,4866,812,733,<1H OCEAN,89.85,66,64,7,broken clouds
Laguna Niguel,-117.72,33.53,704,14,5.1129,251300,1672,295,293,<1H OCEAN,89.85,66,64,7,broken clouds
Laguna Niguel,-117.72,33.51,1176,17,5.133,324000,3617,597,571,<1H OCEAN,89.85,66,64,7,broken clouds
Dana Point,-117.72,33.49,1129,4,5.7281,500001,3623,734,530,<1H OCEAN,88.54,67,66,5.99,broken clouds
Laguna Niguel,-117.73,33.49,654,17,9.8321,500001,2168,290,279,<1H OCEAN,89.85,66,64,7,broken clouds
Laguna Niguel,-117.73,33.51,1238,5,6.1785,295900,4549,786,632,<1H OCEAN,89.85,66,64,7,broken clouds
Mission Viejo,-117.69,33.6,1584,19,6.4211,288100,3562,439,470,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.68,33.6,969,24,6.8154,265900,1956,262,256,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.69,33.6,1194,17,5.4622,227000,2150,361,335,<1H OCEAN,94.75,63,59,5.01,broken clouds
Laguna Hills,-117.7,33.6,877,16,3.0461,216900,2092,489,392,<1H OCEAN,94.1,62,20,8.05,few clouds
Mission Viejo,-117.69,33.6,1333,16,3.475,279500,2205,393,402,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.69,33.6,1464,12,6.5413,332000,3258,421,435,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.69,33.59,1432,13,7.9283,348100,3320,426,431,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.68,33.59,1569,12,8.8636,314000,3473,466,450,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.69,33.58,2877,5,7.5177,330000,6678,1011,982,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.68,33.59,899,8,14.9009,500001,2327,263,236,<1H OCEAN,94.75,63,59,5.01,broken clouds
Mission Viejo,-117.69,33.58,1176,8,10.3953,500001,2887,351,351,<1H OCEAN,94.75,63,59,5.01,broken clouds
Dana Point,-117.68,33.47,1731,7,6.126,285600,4458,731,704,<1H OCEAN,88.54,67,66,5.99,broken clouds
Dana Point,-117.68,33.48,727,15,5.0527,231400,1786,299,293,<1H OCEAN,88.54,67,66,5.99,broken clouds
