City,Longitude,Lattitude,Population,Median Age,Median Income,Median House Value,Total Rooms,Bedrooms,Households,Ocean Proximity,Max Temp,Humidity,Cloudiness,Wind Speed,Description,County,Employees,Establishments,house_value_group
Berkeley,-122.27,37.85,793.0,52.0,2.775,152500.0,1966.0,347.0,331.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.27,37.85,648.0,52.0,2.1202,155500.0,1228.0,293.0,303.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Piedmont,-122.26,37.84,990.0,50.0,1.9911,158700.0,2239.0,455.0,419.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.27,37.84,690.0,52.0,2.6033,162900.0,1503.0,298.0,275.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.27,37.85,409.0,40.0,1.3578,147500.0,751.0,184.0,166.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.27,37.85,929.0,42.0,1.7135,159800.0,1639.0,367.0,366.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.27,37.84,1015.0,52.0,1.725,113900.0,2436.0,541.0,478.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.27,37.84,853.0,52.0,2.1806,99700.0,1688.0,337.0,325.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,<= $100k
Berkeley,-122.27,37.84,1006.0,52.0,2.6,132600.0,2224.0,437.0,422.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.28,37.85,317.0,41.0,2.4038,107500.0,535.0,123.0,119.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.28,37.85,607.0,49.0,2.4597,93800.0,1130.0,244.0,239.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,<= $100k
Berkeley,-122.28,37.85,1102.0,52.0,1.808,105500.0,1898.0,421.0,397.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.28,37.84,1131.0,50.0,1.6424,108900.0,2082.0,492.0,473.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.28,37.84,395.0,52.0,1.6875,132000.0,729.0,160.0,155.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.28,37.84,863.0,49.0,1.9274,122300.0,1916.0,447.0,378.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.28,37.84,1168.0,52.0,1.9615,115200.0,2153.0,481.0,441.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Berkeley,-122.27,37.84,1026.0,48.0,1.7969,110400.0,1922.0,409.0,335.0,NEAR BAY,88.09,65.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.83,754.0,49.0,1.375,104900.0,1655.0,366.0,329.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.83,1258.0,51.0,2.7303,109700.0,2665.0,574.0,536.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.83,570.0,49.0,1.4861,97200.0,1215.0,282.0,264.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.27,37.83,987.0,48.0,1.0972,104500.0,1798.0,432.0,374.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.83,901.0,52.0,1.4103,103900.0,1511.0,390.0,403.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.83,689.0,52.0,3.48,191400.0,1470.0,330.0,309.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.83,1377.0,52.0,2.5898,176000.0,2432.0,715.0,696.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.83,946.0,52.0,2.0978,155400.0,1665.0,419.0,395.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.83,517.0,51.0,1.2852,150000.0,936.0,311.0,249.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Piedmont,-122.26,37.84,462.0,49.0,1.025,118800.0,713.0,202.0,189.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Piedmont,-122.26,37.84,467.0,52.0,3.9643,188800.0,950.0,202.0,198.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.83,660.0,52.0,3.0125,184400.0,1443.0,311.0,292.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.83,718.0,52.0,2.6768,182300.0,1656.0,420.0,382.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.83,616.0,50.0,2.026,142500.0,1125.0,322.0,304.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.82,558.0,43.0,1.7348,137500.0,1007.0,312.0,253.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.82,423.0,40.0,0.9506,187500.0,624.0,195.0,160.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.82,700.0,40.0,1.775,112500.0,946.0,375.0,352.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.82,735.0,21.0,0.9218,171900.0,896.0,453.0,438.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.82,1061.0,43.0,1.5045,93800.0,1868.0,456.0,407.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.27,37.82,1959.0,41.0,1.1108,97500.0,3221.0,853.0,720.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.27,37.82,1162.0,52.0,1.2475,104200.0,1630.0,456.0,400.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.82,701.0,52.0,1.6098,87500.0,1170.0,235.0,233.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.28,37.82,576.0,52.0,1.4113,83100.0,945.0,243.0,220.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.28,37.82,622.0,52.0,1.5057,87500.0,1238.0,288.0,259.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.28,37.82,728.0,52.0,0.8172,85300.0,1489.0,335.0,244.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.28,37.82,1074.0,52.0,1.2171,80300.0,1387.0,341.0,304.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.82,94.0,2.0,2.5625,60000.0,158.0,43.0,57.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.83,554.0,52.0,3.3929,75700.0,1121.0,211.0,187.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.82,86.0,49.0,6.1183,75000.0,135.0,29.0,23.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.81,377.0,50.0,0.9011,86100.0,760.0,190.0,122.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.3,37.81,521.0,52.0,1.191,76100.0,1224.0,237.0,159.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.3,37.81,392.0,48.0,2.5938,73500.0,828.0,182.0,133.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.3,37.81,604.0,52.0,1.1667,78400.0,1010.0,209.0,187.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.3,37.81,788.0,48.0,0.8056,84400.0,1455.0,354.0,332.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.8,492.0,52.0,2.6094,81300.0,1027.0,244.0,147.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.3,37.81,274.0,52.0,1.8516,85000.0,572.0,109.0,82.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.81,1823.0,46.0,0.9802,129200.0,2801.0,644.0,611.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.29,37.81,392.0,26.0,1.7719,82500.0,768.0,152.0,127.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.81,582.0,46.0,0.7286,95200.0,935.0,297.0,277.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.81,560.0,49.0,1.75,75000.0,844.0,204.0,152.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.81,18.0,46.0,0.4999,67500.0,12.0,4.0,7.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.29,37.81,290.0,20.0,2.483,137500.0,835.0,161.0,133.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.81,762.0,17.0,0.9241,177500.0,1237.0,462.0,439.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.81,1236.0,36.0,2.4464,102100.0,2914.0,562.0,509.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.81,721.0,19.0,1.1111,108300.0,1207.0,243.0,207.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.29,37.81,1054.0,23.0,0.8026,112500.0,1745.0,374.0,325.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.8,344.0,38.0,2.0114,131300.0,684.0,176.0,155.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.81,609.0,17.0,1.5,162500.0,924.0,289.0,289.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.81,183.0,52.0,1.1667,112500.0,210.0,56.0,56.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.81,200.0,52.0,1.5208,112500.0,340.0,97.0,87.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.81,346.0,52.0,0.8075,137500.0,386.0,164.0,155.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.81,467.0,35.0,1.8088,118800.0,948.0,184.0,169.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.81,377.0,52.0,2.4083,98200.0,773.0,143.0,115.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,<= $100k
Oakland,-122.27,37.81,582.0,40.0,0.977,118800.0,880.0,451.0,380.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.81,546.0,10.0,0.76,162500.0,875.0,348.0,330.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.8,125.0,10.0,0.9722,137500.0,105.0,42.0,39.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.8,396.0,52.0,1.2434,500001.0,249.0,78.0,85.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,>$400k
Oakland,-122.27,37.8,800.0,16.0,2.0938,162500.0,994.0,392.0,362.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.8,904.0,52.0,0.8668,137500.0,215.0,87.0,88.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.28,37.8,191.0,52.0,0.75,162500.0,96.0,31.0,34.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.79,718.0,27.0,2.6354,187500.0,1055.0,347.0,302.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.27,37.8,1327.0,39.0,1.8477,179200.0,1715.0,623.0,467.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.8,3469.0,36.0,2.0096,130000.0,5329.0,2477.0,2323.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.82,2048.0,31.0,2.8345,183800.0,4596.0,1331.0,1180.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.81,202.0,29.0,2.0062,125000.0,335.0,107.0,91.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.82,2024.0,22.0,1.2185,170000.0,3682.0,1270.0,1250.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.26,37.82,1838.0,37.0,2.6104,193100.0,3633.0,1085.0,980.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$100k - $200k
Oakland,-122.25,37.81,2304.0,29.0,2.4912,257800.0,4656.0,1414.0,1250.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$200k - $300k
Oakland,-122.25,37.81,2563.0,28.0,3.2177,273400.0,5806.0,1603.0,1497.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$200k - $300k
Oakland,-122.25,37.81,389.0,39.0,3.125,237500.0,854.0,242.0,228.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$200k - $300k
Oakland,-122.25,37.81,895.0,52.0,2.5795,350000.0,2155.0,701.0,613.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$300k - $400k
Oakland,-122.26,37.81,2689.0,34.0,2.8406,335700.0,5871.0,1914.0,1789.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.24,37.82,674.0,52.0,4.9306,313400.0,1509.0,225.0,244.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.24,37.81,709.0,52.0,3.2727,268500.0,2026.0,482.0,456.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Oakland,-122.25,37.81,686.0,52.0,3.1691,259400.0,1758.0,460.0,422.0,NEAR BAY,87.69,63.0,75.0,17.27,broken clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.24,37.82,1444.0,52.0,3.9,275700.0,3481.0,751.0,718.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.25,37.82,1520.0,28.0,3.9063,225000.0,3337.0,855.0,802.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.25,37.82,550.0,52.0,5.0917,262500.0,1424.0,289.0,253.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.25,37.82,1806.0,32.0,2.6429,218500.0,3809.0,1098.0,1022.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.25,37.82,1749.0,26.0,3.0233,255000.0,3959.0,1196.0,1217.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.25,37.83,939.0,52.0,3.1484,224100.0,2376.0,559.0,519.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.25,37.83,675.0,35.0,3.4722,243100.0,1613.0,428.0,422.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.25,37.83,534.0,52.0,3.1429,231600.0,1279.0,287.0,291.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.25,37.83,2558.0,28.0,2.4234,218500.0,5022.0,1750.0,1661.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.25,37.83,1786.0,52.0,3.0897,234100.0,4190.0,1105.0,1037.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.23,37.84,970.0,50.0,5.8596,327600.0,2515.0,399.0,373.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.23,37.84,1098.0,47.0,5.2868,347600.0,3175.0,454.0,485.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.24,37.83,794.0,41.0,5.956,366100.0,2576.0,406.0,376.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.24,37.85,98.0,37.0,4.9643,335000.0,334.0,54.0,47.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.23,37.85,1061.0,52.0,6.3434,373600.0,2800.0,411.0,403.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.24,37.84,1177.0,52.0,5.1773,389500.0,3529.0,574.0,555.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.24,37.85,901.0,52.0,7.2354,391100.0,2612.0,365.0,367.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.22,37.85,2031.0,28.0,5.457,337300.0,5287.0,1048.0,956.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.22,37.84,1031.0,50.0,7.5,295200.0,2935.0,473.0,479.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.21,37.84,1358.0,44.0,6.0194,292300.0,3424.0,597.0,597.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$200k - $300k
Piedmont,-122.21,37.83,1616.0,40.0,7.5544,411500.0,4991.0,674.0,654.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,>$400k
Piedmont,-122.2,37.84,844.0,30.0,6.0666,311500.0,2211.0,346.0,343.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.21,37.84,1140.0,34.0,7.0548,325900.0,3038.0,490.0,496.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Orinda,-122.19,37.84,533.0,18.0,11.6017,392600.0,1617.0,210.0,194.0,NEAR BAY,86.95,59.0,0.0,12.66,clear sky,Contra Costa,269056.0,20278.0,$300k - $400k
Piedmont,-122.2,37.84,1072.0,35.0,7.4882,319300.0,2865.0,460.0,443.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.21,37.83,1627.0,34.0,6.8976,333300.0,5065.0,788.0,766.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.19,37.83,463.0,28.0,8.2049,335200.0,1326.0,184.0,190.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.2,37.83,542.0,26.0,8.401,351200.0,1589.0,223.0,211.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.19,37.83,661.0,29.0,6.8538,368900.0,1791.0,271.0,269.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.19,37.82,635.0,32.0,8.317,365900.0,1835.0,264.0,263.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.2,37.82,420.0,37.0,7.0175,366700.0,1229.0,181.0,176.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.2,37.82,1265.0,39.0,6.3302,362800.0,3770.0,534.0,500.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,$300k - $400k
Piedmont,-122.18,37.81,126.0,30.0,6.3624,483300.0,292.0,38.0,52.0,NEAR BAY,87.76,62.0,20.0,10.36,few clouds,Alameda,505595.0,32808.0,>$400k
