City,Longitude,latitude,Population,median_age,median_income,median_house_value,total_rooms,Bedrooms,Households,ocean_proximity,max_temp,Humidity,Cloudiness,wind_speed,Description,County,Employees,Establishments
Piedmont,-122.24,37.85,496,52,7.2574,352100,1467,190,177,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.25,37.85,558,52,5.6431,341300,1274,235,219,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.25,37.85,565,52,3.8462,342200,1627,280,259,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.25,37.85,413,52,4.0368,269700,919,213,193,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Piedmont,-122.25,37.84,1094,52,3.6591,299200,2535,489,514,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
Piedmont,-122.25,37.84,1157,52,3.12,241400,3104,687,647,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
Piedmont,-122.26,37.84,1206,42,2.0804,226700,2555,665,595,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
Piedmont,-122.25,37.84,1551,52,3.6912,261100,3549,707,714,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.26,37.85,910,52,3.2031,281500,2202,434,402,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.26,37.85,1504,52,3.2705,241800,3503,752,734,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.26,37.85,1098,52,3.075,213500,2491,474,468,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Piedmont,-122.26,37.84,345,52,2.6736,191300,696,191,174,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.26,37.85,1212,52,1.9167,159200,2643,626,620,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.26,37.85,697,50,2.125,140000,1120,283,264,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.27,37.85,793,52,2.775,152500,1966,347,331,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.27,37.85,648,52,2.1202,155500,1228,293,303,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Piedmont,-122.26,37.84,990,50,1.9911,158700,2239,455,419,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.27,37.84,690,52,2.6033,162900,1503,298,275,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.27,37.85,409,40,1.3578,147500,751,184,166,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.27,37.85,929,42,1.7135,159800,1639,367,366,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.27,37.84,1015,52,1.725,113900,2436,541,478,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.27,37.84,853,52,2.1806,99700,1688,337,325,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.27,37.84,1006,52,2.6,132600,2224,437,422,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.28,37.85,317,41,2.4038,107500,535,123,119,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.28,37.85,607,49,2.4597,93800,1130,244,239,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.28,37.85,1102,52,1.808,105500,1898,421,397,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.28,37.84,1131,50,1.6424,108900,2082,492,473,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.28,37.84,395,52,1.6875,132000,729,160,155,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.28,37.84,863,49,1.9274,122300,1916,447,378,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.28,37.84,1168,52,1.9615,115200,2153,481,441,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Berkeley,-122.27,37.84,1026,48,1.7969,110400,1922,409,335,NEAR BAY,88.09,65,20,10.36,few clouds,Alameda,505595,32808
Oakland,-122.27,37.83,754,49,1.375,104900,1655,366,329,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.83,1258,51,2.7303,109700,2665,574,536,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.83,570,49,1.4861,97200,1215,282,264,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.83,987,48,1.0972,104500,1798,432,374,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.83,901,52,1.4103,103900,1511,390,403,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.26,37.83,689,52,3.48,191400,1470,330,309,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.26,37.83,1377,52,2.5898,176000,2432,715,696,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.26,37.83,946,52,2.0978,155400,1665,419,395,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.26,37.83,517,51,1.2852,150000,936,311,249,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Piedmont,-122.26,37.84,462,49,1.025,118800,713,202,189,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
Piedmont,-122.26,37.84,467,52,3.9643,188800,950,202,198,NEAR BAY,87.76,62,20,10.36,few clouds,Alameda,505595,32808
Oakland,-122.26,37.83,660,52,3.0125,184400,1443,311,292,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.26,37.83,718,52,2.6768,182300,1656,420,382,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.26,37.83,616,50,2.026,142500,1125,322,304,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.82,558,43,1.7348,137500,1007,312,253,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.26,37.82,423,40,0.9506,187500,624,195,160,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.82,700,40,1.775,112500,946,375,352,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.82,735,21,0.9218,171900,896,453,438,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.82,1061,43,1.5045,93800,1868,456,407,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.82,1959,41,1.1108,97500,3221,853,720,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.82,1162,52,1.2475,104200,1630,456,400,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.82,701,52,1.6098,87500,1170,235,233,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.82,576,52,1.4113,83100,945,243,220,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.82,622,52,1.5057,87500,1238,288,259,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.82,728,52,0.8172,85300,1489,335,244,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.82,1074,52,1.2171,80300,1387,341,304,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.82,94,2,2.5625,60000,158,43,57,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.83,554,52,3.3929,75700,1121,211,187,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.82,86,49,6.1183,75000,135,29,23,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.81,377,50,0.9011,86100,760,190,122,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.3,37.81,521,52,1.191,76100,1224,237,159,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.3,37.81,392,48,2.5938,73500,828,182,133,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.3,37.81,604,52,1.1667,78400,1010,209,187,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.3,37.81,788,48,0.8056,84400,1455,354,332,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.8,492,52,2.6094,81300,1027,244,147,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.3,37.81,274,52,1.8516,85000,572,109,82,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.81,1823,46,0.9802,129200,2801,644,611,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.81,392,26,1.7719,82500,768,152,127,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.81,582,46,0.7286,95200,935,297,277,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.81,560,49,1.75,75000,844,204,152,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.81,18,46,0.4999,67500,12,4,7,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.81,290,20,2.483,137500,835,161,133,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.81,762,17,0.9241,177500,1237,462,439,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.81,1236,36,2.4464,102100,2914,562,509,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.81,721,19,1.1111,108300,1207,243,207,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.29,37.81,1054,23,0.8026,112500,1745,374,325,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.8,344,38,2.0114,131300,684,176,155,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.81,609,17,1.5,162500,924,289,289,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.27,37.81,183,52,1.1667,112500,210,56,56,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Oakland,-122.28,37.81,200,52,1.5208,112500,340,97,87,NEAR BAY,87.69,63,75,17.27,broken clouds,Alameda,505595,32808
Mission Viejo,-117.64,33.61,3041,14,5.826,247900,5232,810,839,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.65,33.6,1004,13,5.133,316100,2319,430,380,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.64,33.59,1312,4,8.1611,348000,3274,383,390,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.65,33.57,1185,5,4.3542,195600,1998,500,446,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.65,33.58,703,2,7.8061,331400,2411,354,217,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.66,33.57,1357,16,5.5545,214200,2483,443,400,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.65,33.59,1238,8,8.0409,337900,2649,340,354,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.67,33.54,1003,16,4.7981,170800,2102,350,328,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.67,33.54,1366,15,4.8906,181800,2423,435,423,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
Laguna Niguel,-117.67,33.55,1695,6,3.7609,222300,3157,721,710,<1H OCEAN,89.85,66,64,7,broken clouds,Orange,1191075,71255
Mission Viejo,-117.67,33.56,1345,4,4.6863,184400,3289,728,632,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.64,33.51,943,15,5.9339,286000,1743,254,274,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.64,33.51,650,14,7.2648,363200,1343,175,184,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Clemente,-117.55,33.52,133,15,5.136,447400,426,62,45,<1H OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.65,33.53,2175,7,10.49,500001,6814,785,681,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Clemente,-117.62,33.42,998,23,4.0294,500001,2656,515,435,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.63,33.38,2104,12,5.1482,500001,5744,1054,847,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.61,33.41,946,35,6.1557,402900,2556,404,399,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.61,33.42,1919,31,4.0313,282000,3959,856,775,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.6,33.41,922,29,4.5476,309200,2193,389,387,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.62,33.47,661,4,6.487,294200,1812,255,211,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.63,33.45,1571,5,5.3705,363500,3549,604,534,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.63,33.47,805,4,7.6012,310800,1969,280,271,NEAR OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Clemente,-117.61,33.45,426,6,4.7237,220700,950,184,186,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.63,33.46,2812,7,6.3401,387300,7684,1088,1057,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.65,33.42,603,25,3.3967,249400,2174,428,352,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.64,33.45,130,27,4.875,284100,334,56,46,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.62,33.43,1221,27,3.2232,247100,1835,413,377,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.62,33.43,2321,27,3.3155,231000,3858,1062,873,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.62,33.43,850,24,2.7545,231300,1296,384,367,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.65,33.4,910,17,3.5729,370800,2737,654,492,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.62,33.43,1950,23,4.0647,240600,4052,955,859,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.61,33.43,604,33,2.3545,187500,1150,383,317,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.62,33.42,460,27,3.1029,190600,1005,266,243,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.62,33.42,597,27,3.1395,310000,1444,412,311,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.6,33.45,996,4,5.4031,243800,2369,566,435,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.59,33.44,2363,3,4.3897,341300,5813,1264,1041,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.59,33.4,1797,22,4.0076,252100,3167,743,642,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.59,33.41,878,17,5.1298,246000,2248,448,423,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.6,33.42,1048,23,4.665,280600,2482,461,425,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.61,33.43,851,24,3.9875,346500,2303,399,379,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.6,33.43,1392,21,5.1439,414000,3951,562,543,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.61,33.44,713,17,6.5954,346200,2036,272,265,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
San Clemente,-117.59,33.43,1230,14,6.5964,358800,3223,484,488,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
Dana Point,-117.67,33.47,1081,22,1.6393,500001,2728,616,566,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
Dana Point,-117.67,33.46,1409,24,4.6518,277800,3571,722,543,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
Dana Point,-117.67,33.44,903,25,6.6852,500001,2994,519,410,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
Dana Point,-117.67,33.46,783,18,5.3999,300000,1679,271,257,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
Dana Point,-117.66,33.46,952,26,5.0877,288100,2073,370,340,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
Dana Point,-117.66,33.46,609,28,5.1024,312700,1261,233,242,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.66,33.48,334,22,2.3846,500001,809,180,157,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.65,33.49,628,16,4.3603,248800,2223,454,382,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.64,33.49,781,3,5.6197,271600,2516,429,337,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.65,33.48,1469,10,5.4188,402200,3484,582,556,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.65,33.48,572,6,13.0502,500001,1638,188,174,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.63,33.5,1506,12,7.2013,353600,3619,536,492,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.63,33.47,1408,4,6.3369,256000,2320,405,477,NEAR OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.65,33.46,2824,19,6.0873,277300,7034,1139,1068,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.64,33.48,1033,12,5.6754,275900,2007,397,373,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Clemente,-117.65,33.45,3033,15,5.49,239300,7468,1275,1217,NEAR OCEAN,93.65,72,76,7,broken clouds,Orange,1191075,71255
Laguna Niguel,-117.73,33.49,1530,31,10.3983,500001,5112,778,648,<1H OCEAN,89.85,66,64,7,broken clouds,Orange,1191075,71255
Dana Point,-117.76,33.48,1332,38,5.0044,381200,3832,809,636,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
Laguna Niguel,-117.74,33.51,612,29,7.8239,500001,1720,269,258,<1H OCEAN,89.85,66,64,7,broken clouds,Orange,1191075,71255
Laguna Niguel,-117.73,33.53,2129,3,7.8915,420600,6388,920,819,<1H OCEAN,89.85,66,64,7,broken clouds,Orange,1191075,71255
Laguna Niguel,-117.72,33.54,1909,13,4.9821,244800,4866,812,733,<1H OCEAN,89.85,66,64,7,broken clouds,Orange,1191075,71255
Laguna Niguel,-117.72,33.53,704,14,5.1129,251300,1672,295,293,<1H OCEAN,89.85,66,64,7,broken clouds,Orange,1191075,71255
Laguna Niguel,-117.72,33.51,1176,17,5.133,324000,3617,597,571,<1H OCEAN,89.85,66,64,7,broken clouds,Orange,1191075,71255
Dana Point,-117.72,33.49,1129,4,5.7281,500001,3623,734,530,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
Laguna Niguel,-117.73,33.49,654,17,9.8321,500001,2168,290,279,<1H OCEAN,89.85,66,64,7,broken clouds,Orange,1191075,71255
Laguna Niguel,-117.73,33.51,1238,5,6.1785,295900,4549,786,632,<1H OCEAN,89.85,66,64,7,broken clouds,Orange,1191075,71255
Mission Viejo,-117.69,33.6,1584,19,6.4211,288100,3562,439,470,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.68,33.6,969,24,6.8154,265900,1956,262,256,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.69,33.6,1194,17,5.4622,227000,2150,361,335,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.69,33.6,1333,16,3.475,279500,2205,393,402,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.69,33.6,1464,12,6.5413,332000,3258,421,435,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.69,33.59,1432,13,7.9283,348100,3320,426,431,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.68,33.59,1569,12,8.8636,314000,3473,466,450,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.69,33.58,2877,5,7.5177,330000,6678,1011,982,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.68,33.59,899,8,14.9009,500001,2327,263,236,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Mission Viejo,-117.69,33.58,1176,8,10.3953,500001,2887,351,351,<1H OCEAN,94.75,63,59,5.01,broken clouds,Orange,1191075,71255
Dana Point,-117.68,33.47,1731,7,6.126,285600,4458,731,704,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
Dana Point,-117.68,33.48,727,15,5.0527,231400,1786,299,293,<1H OCEAN,88.54,67,66,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.68,33.49,1072,17,4.245,214500,2232,372,385,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.68,33.49,2557,16,2.8357,106300,3084,724,690,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
San Juan Capistrano,-117.67,33.49,983,15,2.1935,183300,2782,579,525,<1H OCEAN,92.59,67,72,5.99,broken clouds,Orange,1191075,71255
